fecha;Open;High;Low;Close;Volume;Currency
13/11/2019;61.519;61.986;60.503;61.025;10572063;USD
14/11/2019;61.026;61.156;58.768;59.187;10599407;USD
15/11/2019;59.181;60.76;56.727;57.758;11666437;USD
16/11/2019;57.758;58.956;57.358;58.285;9734448;USD
17/11/2019;58.285;59.926;57.716;59.217;10596438;USD
18/11/2019;59.216;59.315;54.469;56.055;11132421;USD
19/11/2019;56.055;56.409;54.305;55.143;10737027;USD
20/11/2019;55.145;56.141;54.774;55.029;9744826;USD
21/11/2019;55.029;55.327;48.799;50.675;12355548;USD
22/11/2019;50.674;51.473;43.989;47.423;17213042;USD
23/11/2019;47.422;48.516;46.293;48.18;10757217;USD
24/11/2019;48.182;48.31;43.951;44.212;11831674;USD
25/11/2019;44.21;47.481;42.513;45.619;15291282;USD
26/11/2019;45.605;47.465;45.404;47.017;10772342;USD
27/11/2019;47.023;48.649;44.848;47.724;12335130;USD
28/11/2019;47.723;48.014;46.473;46.859;10522699;USD
29/11/2019;46.868;49.254;46.826;48.615;11629835;USD
30/11/2019;48.614;48.808;47.025;47.523;10483220;USD
01/12/2019;47.523;48.455;45.733;47.517;10566349;USD
02/12/2019;47.517;47.707;44.923;45.611;11720414;USD
03/12/2019;45.613;46.201;44.665;45.156;11243720;USD
04/12/2019;45.158;46.771;44.177;44.725;13790980;USD
05/12/2019;44.716;45.218;43.854;44.798;12487414;USD
06/12/2019;44.799;45.513;44.181;45.346;10756434;USD
07/12/2019;45.345;46.267;45.06;45.237;10116678;USD
08/12/2019;45.237;46.161;44.933;45.614;9398040;USD
09/12/2019;45.619;45.772;44.141;44.49;10938366;USD
10/12/2019;44.49;44.601;43.693;44.11;8419678;USD
11/12/2019;44.109;44.944;43.484;44.145;6129907;USD
12/12/2019;44.144;44.324;42.982;43.615;8308005;USD
13/12/2019;43.615;44.557;43.485;44.44;7671950;USD
14/12/2019;44.44;44.674;43.236;43.273;6946334;USD
15/12/2019;43.273;44.0;42.931;43.472;6720051;USD
16/12/2019;43.472;43.598;39.306;39.984;11062513;USD
17/12/2019;39.984;40.136;36.501;36.986;15750332;USD
18/12/2019;36.987;41.45;35.944;40.778;17628236;USD
19/12/2019;40.745;41.064;39.118;39.639;10252511;USD
20/12/2019;39.639;40.381;39.303;40.097;6533810;USD
21/12/2019;40.098;40.118;39.447;39.678;6024076;USD
22/12/2019;39.678;42.118;39.607;41.834;8906818;USD
23/12/2019;41.836;42.595;40.432;40.687;9369681;USD
24/12/2019;40.688;41.134;39.826;40.381;7760104;USD
25/12/2019;40.381;40.45;39.486;40.102;6830158;USD
26/12/2019;40.102;41.688;39.629;40.088;7335569;USD
27/12/2019;40.087;41.044;39.763;41.044;8085906;USD
28/12/2019;41.037;43.774;40.968;42.751;9645218;USD
29/12/2019;42.751;43.698;42.151;43.152;10138765;USD
30/12/2019;43.154;44.18;41.871;42.425;8901736;USD
31/12/2019;42.425;43.032;41.111;41.287;7297555;USD
01/01/2020;41.288;42.136;41.142;41.627;5443143;USD
02/01/2020;41.627;41.78;39.43;39.556;5602141;USD
03/01/2020;39.558;42.321;38.972;42.178;7142880;USD
04/01/2020;42.183;42.893;41.833;42.855;6351572;USD
05/01/2020;42.855;43.458;42.727;43.458;7147826;USD
06/01/2020;43.456;45.778;43.316;45.778;8131511;USD
07/01/2020;45.778;46.654;44.631;46.4;9535456;USD
08/01/2020;46.397;48.446;44.345;45.374;9590504;USD
09/01/2020;45.375;45.788;43.978;44.784;6196595;USD
10/01/2020;44.779;49.622;43.835;49.044;9449756;USD
11/01/2020;49.05;51.859;47.964;49.438;9342143;USD
12/01/2020;49.436;51.541;48.878;51.383;7538094;USD
13/01/2020;51.386;51.493;48.968;49.591;6309074;USD
14/01/2020;49.594;60.711;49.59;58.539;15701395;USD
15/01/2020;58.535;58.535;55.378;58.18;11652934;USD
16/01/2020;58.184;58.463;54.932;57.632;8172187;USD
17/01/2020;57.63;63.189;56.786;61.064;10605683;USD
18/01/2020;61.064;62.391;58.083;59.29;8302743;USD
19/01/2020;59.285;62.314;55.804;57.681;8512520;USD
20/01/2020;57.67;58.223;55.88;57.2;5471827;USD
21/01/2020;57.2;58.084;56.066;57.597;4500472;USD
22/01/2020;57.597;59.175;57.229;58.309;4254795;USD
23/01/2020;58.311;58.363;52.736;54.484;7372460;USD
24/01/2020;54.485;55.364;50.87;54.39;8018626;USD
25/01/2020;54.39;54.397;52.405;53.272;5063033;USD
26/01/2020;53.269;56.395;52.919;56.255;5428760;USD
27/01/2020;56.255;59.546;55.963;58.574;7603716;USD
28/01/2020;58.574;61.551;57.468;60.549;9034623;USD
29/01/2020;60.554;62.387;59.491;59.817;7975631;USD
30/01/2020;59.816;70.141;58.338;67.969;14453918;USD
31/01/2020;67.967;69.762;65.535;68.044;12171822;USD
01/02/2020;68.041;72.714;67.684;70.751;12068537;USD
02/02/2020;70.751;73.344;67.924;69.953;10551579;USD
03/02/2020;69.959;72.878;68.586;69.705;8877366;USD
04/02/2020;69.705;70.452;68.063;68.063;7188782;USD
05/02/2020;68.067;73.382;67.668;72.563;8839001;USD
06/02/2020;72.566;75.007;70.97;73.594;9753443;USD
07/02/2020;73.594;75.42;72.663;74.338;8347262;USD
08/02/2020;74.338;77.76;71.638;76.613;9377732;USD
09/02/2020;76.613;78.372;75.148;77.023;7523191;USD
10/02/2020;77.023;77.426;72.362;74.1;9460917;USD
11/02/2020;74.095;77.351;72.73;76.524;8049270;USD
12/02/2020;76.524;82.741;76.507;81.19;10957770;USD
13/02/2020;81.194;84.086;77.481;80.601;13607402;USD
14/02/2020;80.597;83.619;78.772;82.965;8689343;USD
15/02/2020;82.959;83.359;75.182;76.741;11580506;USD
16/02/2020;76.744;80.681;67.961;74.866;15154190;USD
17/02/2020;74.867;75.411;68.653;73.341;12135502;USD
18/02/2020;73.357;78.911;70.217;77.173;10642768;USD
19/02/2020;77.173;79.041;68.264;70.782;12099084;USD
20/02/2020;70.782;72.339;66.495;69.455;12453103;USD
21/02/2020;69.455;75.161;68.633;73.291;12133144;USD
22/02/2020;73.288;76.642;72.422;74.818;11561372;USD
23/02/2020;74.817;79.92;74.722;79.706;11925495;USD
24/02/2020;79.673;79.678;71.906;75.579;13517504;USD
25/02/2020;75.579;75.969;69.882;71.045;11892613;USD
26/02/2020;71.056;72.12;57.913;60.589;18328904;USD
27/02/2020;60.589;64.98;57.313;61.671;15069555;USD
28/02/2020;61.672;63.302;56.953;59.904;13754114;USD
29/02/2020;59.904;61.582;58.062;58.078;8869969;USD
01/03/2020;58.078;60.217;56.293;57.768;9850635;USD
02/03/2020;57.75;62.27;57.334;61.415;10712270;USD
03/03/2020;61.416;62.34;59.564;61.011;9408720;USD
04/03/2020;61.011;61.737;58.891;60.345;7765385;USD
